,Academic Affiliation(s)
1097,Shanghai International Studies University
1098,Shanghai International Studies University
1099,Shanghai International Studies University
1100,Shanghai International Studies University
1101,Shanghai International Studies University
1102,Shanghai International Studies University
1103,Shanghai International Studies University
1104,Shanghai International Studies University
1105,Shanghai International Studies University
1106,Shanghai International Studies University
1107,Shanghai International Studies University
1108,Shanghai International Studies University
1109,Shanghai International Studies University
1110,Shanghai International Studies University
1111,Shanghai International Studies University
1112,Shanghai International Studies University
1113,Shanghai International Studies University
1114,Shanghai International Studies University
1115,Shanghai International Studies University
1116,Shanghai International Studies University
1117,Shanghai International Studies University
1118,Shanghai International Studies University
1119,Shanghai International Studies University
1120,Shanghai International Studies University
1121,Shanghai International Studies University
1122,Shanghai International Studies University
1123,Shanghai International Studies University
1124,Shanghai International Studies University
1125,Shanghai International Studies University
1126,Shanghai International Studies University
1127,"Shanghai International Studies University,"
1128,Shanghai International Studies University.
1129,Shanghai International Studies University.
1130,Shanghai Maritime University
1131,Shanghai Maritime University
1132,Shanghai Maritime University
1133,Shanghai Maritime University
1134,Shanghai Maritime University
1135,Shanghai Normal University
1136,Shanghai Normal University
1137,Shanghai Normal University
1138,Shanghai University
1139,Shanghai University
1140,Shanxi Normal University
1141,Shanxi University
1142,Sichuan International Studies University
1143,Sichuan International Studies University
1144,Sichuan International Studies University
1145,Sichuan International Studies University
1146,Sichuan International Studies University
1147,Sichuan International Studies University
1148,Sichuan International Studies University
1149,Sichuan International Studies University
1150,Sichuan International Studies University
1151,Sichuan International Studies University
1152,Sichuan International Studies University
1153,Sichuan International Studies University
1154,Sichuan International Studies University
1155,Sichuan International Studies University
1156,Sichuan International Studies University
1157,Sichuan International Studies University
1158,Sichuan International Studies University
1159,Sichuan Normal University
1160,Sichuan Normal University
1161,Sichuan Normal University
1162,Sichuan University
1163,Sichuan University
1164,Sichuan University
1165,Sichuan University
1166,Sichuan University
1167,Sichuan University
1168,Sichuan University
1169,Sichuan University
1170,Sichuan University
1171,Sichuan University
1172,Sichuan University
1173,Sichuan University
1174,Sichuan University
1175,Southwest Normal University
1176,Southwest Petroleum Institute
1177,Southwest University
1178,Sun Yat-sen University
1179,Suzhou University
1180,Suzhou University
1181,Suzhou University
1182,Suzhou University
1183,Suzhou University
1184,Suzhou University
1185,Taiyuan University of Technology
1186,Tamkang University
1187,Tianjin Normal University
1188,Tianjin Normal University
1189,Tianjin Normal University
1190,Tianjin Normal University
1191,Tianjin University
1192,Tianjin University
1193,Tianjin University of Technology
1194,University of Electronic Science and Technology of China
1195,University of International Business and Economics
1196,University of International Business and Economics
1197,University of International Business and Economics
1198,University of International Business and Economics
1199,University of International Business and Economics
1200,University of International Business and Economics
1201,Wuhan University
1202,Wuhan University
1203,Wuhan University
1204,Wuhan University
1205,Wuhan University of Technology
1206,Wuhan University of Technology
1207,Wuhan University of Technology
1208,Xiamen University
1209,Xiamen University
1210,Xiamen University
1211,Xiamen University
1212,Xiamen University
1213,Xiamen University
1214,Xiamen University
1215,Xiamen University
1216,Xiamen University
1217,Xiamen University
1218,Xiamen University
1219,Xiamen University
1220,Xiamen University
1221,Xiamen University
1222,Xiamen University
1223,Xiamen University
1224,Xiamen University
1225,Xiamen University
1226,Xiamen University
1227,Xiamen University
1228,Xiamen University
1229,Xiamen University
1230,Xiamen University
1231,Xiamen University
1232,Xiamen University
1233,Xiamen University
1234,Xiamen University
1235,Xiamen University
1236,Xiamen University
1237,Xiamen University
1238,Xiamen University
1239,Xiamen University
1240,Xiamen University
1241,Xiamen University
1242,Xiamen University
1243,Xiamen University
1244,Xiamen University
1245,Xiamen University
1246,Xiamen University
1247,Xiamen University
1248,Xiamen University
1249,Xiamen University
1250,Xiamen University
1251,Xiamen University
1252,Xiamen University
1253,Xiamen University
1254,Xiamen University
1255,Xiamen University
1256,Xiamen University
1257,Xiamen University
1258,Xiamen University
1259,Xiamen University
1260,Xiamen University
1261,Xiamen University
1262,Xiamen University
1263,Xiamen University
1264,Xiamen University
1265,Xiamen University
1266,Xiamen University
1267,Xiamen University
1268,Xiamen University
1269,Xiamen University
1270,Xiamen University
1271,Xiamen University
1272,Xiamen University
1273,Xiamen University
1274,Xiamen University
1275,Xiamen University
1276,"Xiamen University,"
1277,Xi'an International Studies University
1278,Xi'an International Studies University
1279,Xi'an International Studies University
1280,Xi'an International Studies University
1281,Xi'an International Studies University
1282,Xidian University
1283,Yangtze University
1284,Zhejiang Gongshang University
1285,Zhejiang Normal University
1286,Zhejiang University
1287,Zhejiang University
1288,Zhejiang University
1289,University of Texas
1290,Xiamen University
1291,Shanghai International Studies University
1292,Shanghai International Studies University
1293,Shanghai International Studies University
1294,Shanghai International Studies University
1295,Shanghai International Studies University
1296,Shanghai International Studies University
1297,Shanghai International Studies University
1298,Shanghai International Studies University
1299,Fudan University
1300,Shanghai International Studies University
1301,South China Normal University
1302,University of Texas
1303,University of Leeds
1304,Sichuan University
1305,Chinese University of Hong Kong
1306,Beijing Normal University
1307,Shanghai International Studies University
1308,Shanghai International Studies University
1309,Shanghai International Studies University
1310,University of Texas
1311,Shanghai International Studies University
1312,Chinese University of Hong Kong
1313,Shanghai International Studies University
1314,Shanghai International Studies University
1315,Shanghai International Studies University
1316,Guangdong Foreign Studies University
1317,Beijing Foreign Studies University
1318,Shanghai International Studies University
1319,Guangdong Foreign Studies University
1320,Shanghai International Studies University
1321,RMIT University
1322,Ministry of Foreign Affairs
1323,Suzhou Vocational University
1324,National Chuanghua University of Education
1325,North China Electric Power University
1326,Beijing Institute of Technology
1327,Chengdu Community College for Electrical Engineering
1328,Xiamen University
1329,Wenli Vocational School
1330,Sichuan International Studies UniversitySichuan International Studies University
1331,Sichuan International Studies University;Sichuan International Studies University
1332,Wuhan University of Technology
1333,Guangxi University;Guangxi University;
1334,Ningbo Dahongying University 
1335,Minhou Vocational School
1336,Wuhan Polytechnic Institute
1337,Gansu Agricultural University
1338,Fujian Transportation Institute
1339,Hunan University of Arts and Science
1340,Luzhou Medical College;Luzhou Medical College;
1341,Wuhu Vocational College of Information Technology/Nanjing University
1342,Guangdong Polytechnic Normal University
1343,Jishou University
1344,Tianjin Foreign Studies University
1345,Hubei Normal University
1346,Hunan College of Finance and Economics
1347,Nanchang University
1348,Tianjin University of Commerce;Tianjin University of Commerce
1349,Yangtze University
1350,Tianjin Foreign Studies University
1351,National Taiwan Normal University;Fu Jen Catholic University
1352,Quanzhou School of Investment and Trade
1353,the fourth military medical university
1354,Lanzhou University of Technology;Lanzhou University of Technology;Lanzhou University of Technology
1355,Fujian Normal University
1356,Jishou University
1357,Liaoning University
1359,Zhejiang Normal University;Zhejiang Normal University
1360,Sichuan International Studies University
1361,Dalian University
1362,Quanzhou School of Investment and Trade
1363,Guangxi Normal University
1364,Lanzhou University of Technology
1365,Beijing Jiaotong University
1366,Sichuan International Studies University
1367,Nanjing University of Aeronautics and Astronautics
1368,Guangxi University
1369,Yuncheng University
1370,Dalian University of Foreign Languages
1371,Nanjing University of Science and Technology;
1372,Zhanjiang Normal University;
1373,Fuyang Teachers College;Fuyang Hongqi Middle School
1374,Hunan Agricultural University;Hunan Agricultural University
1375,Fudan University
1376,Beijing Language and Culture University
1377,Beijing Language and Culture University
1378,Taiyuan University of Science and Technology
1379,Fuzhou Polytechnic College
1380,Guilin University of Electronics and Technology
1381,China University of Petroleum
1382,Kunming University of Technology 
1383,Chinese Academy of Sciences;Chinese Academy of Sciences
1384,Fuyang Teachers College
1385,Liaoning Engineering University;Liaoning Engineering University
1386,Jilin University;Jilin University
1387,Beijing Language and Culture University
1388,Tianjin Foreign Studies University;Tianjin University of Science & Technology
1389,China International Publishing Group
1390,Xuchang University/Shandong University
1391,Ludong University;Ludong University
1392,Zhejiang Police College
1393,Jiangsu University;Jiangsu University
1394,Shenzhen Polytechnic Institute
1395,Liaoning Normal University
1396,Huaibei Normal University;Huaibei Normal University;
1397,Hebei Construction Vocational Institute;Hebei Normal University of Science & Technology;Qinhuangdao HR and Social Security Information Center
1398,Xi'an International Studies University
1399,Ocean University of China
1400,Shandong University
1401,Guangxi University
1402,Fudan University
1403,Hainan University
1404,Beijing International Studies University
1405,National Taiwan Normal University;National Taiwan Normal University;
1406,Sun Yat-Sen University;University of International Business and Economics
1407,Xi'an Fanyi University
1408,Fujian Normal University
1409,Huzhou Vocational Technical College
1410,Jishou University
1411,Huazhong Normal University
1412,Zhanjiang Normal University
1413,Guangdong University of Finance
1414,Ningbo University;
1415,Guangxi Normal University
1416,Ningbo Vocational Institute
1417,Hebei United University
1418,Heilongjiang University of Science and Technology
1419,Shanxi Vocational School
1420,Hubei University for Nationalities
1421,Capital Normal University
1422,Suzhou College of Information Technology
1423,Dalian University of Foreign Languages
1424,Wuhan Textile University
1425,Beijing University of Chinese Medicine;Beijing University of Chinese Medicine;Beijing University of Chinese Medicine
1426,Tianjin Foreign Studies University
1427,Suzhou Vocational University
1428,Tianjin Foreign Studies University
1429,Quanzhou School of Investment and Trade
1430,Yangtze University
1432,Yangtze University
1433,Zhaoqing industry and Commerce Career Technical College
1434,Guangxi Normal University
1436,Guangdong University of Finance
1437,Yangtze University
1438,Nanjing University of Information Science & Technology
1439,Northwest University for Nationalities
1440,Sichuan International Studies University
1441,Shenyang University of Technology
1442,Guangdong University of Foreign Studies
1443,Xianning Institute
1444,Hainan University
1445,Fudan University
1446,Hubei University for Nationalities
1447,Minnan Normal University
1448,Guangdong University of Foreign Studies;Guangdong University of Foreign Studies
1449,Tianjin University of Science & Technology
1450,Zhujiang Vocational School
1451,Jiaxing Vocational Technical College;Fudan University
1452,Shanghai University
1453,Ningbo University of Technology
1454,East China Normal University;East China Normal University
1455,Dalian University of Foreign Languages
1456,Hengyang Normal University
1457,Luoyang Institute of Science and Technology
1458,Tangshan College
1459,Zhanjiang Normal University
1460,East China Jiaotong University
1461,Changchun University of Technology;Changchun University of Technology
1462,Suihua College
1463,Hainan University
1464,Guangxi University;Guangxi University
1465,Guangdong University of Foreign Studies
1466,Jiaxing Institute
1467,Guangxi Normal University
1468,Shenyang Aerospace University
1469,Shijiazhuang School of Infantry;Shijiazhuang School of Infantry
1470,Ningbo University
1471,Hunan college of information/Central South University
1472,Gannan Normal University
1473,Huazhong University of Science and Technology;Huazhong University of Science and Technology;Huazhong University of Science and Technology;
1474,Henan Foreign Affairs Office
1475,Jilin Normal University
1476,China Three Gorges University
1477,Liuzhou Normal Teachers' College
1478,Bohai University
1479,Dalian University of Foreign Languages;Dalian University of Foreign Languages
1480,Shanghai University
1481,Hainan University
1482,Zhejiang Normal University
1483,Tongji University
1484,Renmin University
1485,Guangdong University of Foreign Studies
1486,Ningbo University
1487,Beijing Wuzi University;Beijing Wuzi University
1488,Hunan First Normal University
1489,National Taiwan University of Science and Technology
1490,Beijing Language and Culture University
1491,Jilin Jianzhu University
1492,Hong Kong Polytechnic University;Hong Kong Polytechnic University
1493,Tianjin University
1494,Xi'an University of Technology;Xi'an University of Technology 
1495,Hebei United UniversityHebei United University;
1496,Hubei Engineering Institute
1497,the fourth military medical university
1498,Nanjing Agricultural University
1499,Sun Yat-Sen University;Sun Yat-Sen University
1500,Shenyang Normal University
1501,Xingtai University
1502,Northeastern University;Northeastern University
1503,Huanghuai University
1504,Xi'an Fanyi University
1505,Siping Professional College;Siping Professional College;
1506,Ningbo Urban Institute
1507,Wuxi Technology Vocational Institute
1508,Taizhou Teachers' College
1509,Siping Professional College;Siping Professional College;
1510,Zhejiang Normal University/Nanyang Institute of Technology
1511,Beijing College of Politics and Law
1512,Henan Vocational & Technical College
1513,San Diego State University
1514,National Taiwan Normal University
1515,"Southwest Petroleum University,Sichuan University"
1516,Nanjing University of International Relations
1517,Beijing Foreign Studies University
1518,University of Vienna
1519,Sichuan University
1520,Central University for Nationalities
1521,Hong Kong Polytechnic University;Hong Kong Polytechnic University
1522,Southwestern University of Finance and Economics;University of Electronic Science and Technology of China
1523,Ludong University
1524,Chongqing Normal University
1525,Bar Ilan University
1526,Sichuan University
1527,Northeastern University;Northeastern University;Northeastern University
1528,Sichuan University;Heriot-Watt University
1529,Renmin University of China
1530,Beijing Foreign Studies University/Hong Kong Polytechnic University
1531,Beijing Language and Culture University
1532,"Fu Jen Catholic University,Fu Jen Catholic University,Guangdong Foreign Studies University"
1533,University of Shanghai for Science and Technology
1534,Shenzhen University
1535,Sichuan University
1536,Beijing Language and Culture University
1537,Tsinghua University
1538,Nanjing Xiaozhuang University
1539,Central South University
1540,China Foreign Affairs University
1541,Zhengzhou Shengda Institute for management 
1542,Sichuan University
1543,Jilin University
1544,Shanghai International Studies University
1545,Hengshui Institute
1546,Xinjiang Normal University;Xinjiang Normal University
1547,"Guangxi University,Guangxi University"
1548,Jining Institute
1549,Sichuan University
1550,Guangxi University for Nationalities
1551,Luoyang Institute for Engineering
1552,Harbin Normal University
1553,Hubei Institute for Science and Technology
1554,Shaanxi Institute for Science and Technology
1555,Fuzhou University
1556,Shandong Zaozhuang Institute
1557,Jiangxi Agricultural University
1558,Guangxi Normal University
1559,Dalian University of Foreign Languages
1560,Nanjing Xiaozhuang University
1561,Hubei University of Technology
1562,Guangxi Institute of Finance
1563,Nanjing University of Information Science and Technology
1564,Jiangxi Agricultural University
1565,Harbin University of Science and Technology;Harbin University of Science and Technology
1566,Guangdong University of Foreign Studies
1567,Hong Kong Polytechnic University
1568,Hubei Institute for Science and Technology
1569,Guangxi University of Technology;Guangxi University of Technology
1570,Hubei Normal University
1571,Anhui University
1572,Zaozhuang Institute
1573,Quanzhou vocational institute for business and technology
1574,"Shanghai International Studies University,Jinggangshan University"
1575,Xi'an Translation Institute
1576,"Fujian Normal University,Minjiang Institute"
1577,Translators Association of China
1578,Qinghai University
1579,Guangzhou University
1580,Xi'an Medical School
1581,Anhui Normal University
1582,Luoyang Institute for Engineering
1583,Jilin Normal University
1584,"Tianjin Foreign Studies University,Tianjin Foreign Studies University"
1585,Hunan University of Commerce
1586,Guangxi Normal University
1587,Northwest Normal University
1588,Shenzhen Polytechnic Institute
1589,Qufu Normal University;Qufu Normal University;Qufu Normal University
1590,Taiyuan Normal University
1591,Shanghai International Studies University
1592,"Zhejiang Guangxia Vocational Institute of Technology,Zhejiang Guangxia Vocational Institute of Technology"
1593,Guangdong University of Foreign Studies
1594,Dalian University of Foreign Languages
1595,Xi'an Translation Institute
1596,Suihua Institute
1597,University of Shanghai for Science and Technology
1598,Nanjing Xiaozhuang University
1599,PLA Foreign Languages Institute
1600,"University of International Business and Economics,University of International Business and Economics"
1601,Xuchang Vocational Institute of Technology
1602,Wuhan Vocational Institute of Technology
1603,Tianjin Foreign Studies University
1604,Jishou University
1605,Suzhou Institute of Technology;Suzhou Institute of Technology;
1606,Nanchang University
1607,Northwest Normal University
1608,Hangzhou Normal University;Hangzhou Normal University;
1609,Guangxi University
1610,Guangxi Institute of Finance
1611,Civil Aviation Flight University of China
1612,Hong Kong Polytechnic University
1613,Guangdong University of Foreign Studies
1614,Changsha Normal College
1615,Shanghai International Studies University
1616,Gannan Normal University
1617,Shenyang Normal University/Shenyang Agricultural University
1618,Zhongnan University of Economics and Law
1619,Shanghai Binda Institute
1620,Yancheng Normal University
1621,Jilin Normal University
1622,Guangxi University
1623,Jilin Normal University
1624,Fujian Normal University;Minjiang Institute
1625,Wuxi Vocational Institute of Technology
1626,Guangdong Normal Institute of Technology
1627,Guangxi Vocational Institute of Business and Technology
1628,Minjiang Institute
1629,"Hong Kong Polytechnic University,Guangdong University of Foreign Studies"
1630,Zhejiang Shuren University
1631,Yichun Institute
1632,Guangxi Institute of Finance
1633,Xiangtan University
1634,Shenyang Normal University
1635,Fuzhou Vocational Institute of Technology
1636,Guangxi Normal University
1637,Shanxi Vocational Institute of Technology
1638,"Anhui University of Engineering,Anhui University of Engineering"
1639,Henan Vocational Institute of Technology
1640,Nanjing Institute of International Relations
1641,Guangdong Radio and TV University/Guangdong Vocational School of Technology
1642,"University of Shanghai for Science and Technology,University of Shanghai for Science and Technology"
1643,"Xi'an International Studies University,Xi'an International Studies University"
1644,University of Electronic Science and Technology of China
1645,China University of Geosciences
1646,Jiangsu Rudong Middle School
1647,"China University of Geosciences,China University of Geosciences,China University of Geosciences"
1648,Xi'an Translation Institute
1649,Shanghai Ocean University
1650,Hunan Agricultural University
1651,"Sun Yat-Sen University,University of International Business and Economics"
1652,Jiangxi University of Science and Technology
1653,Beijing International Studies University
1654,Zhejiang Yuexiu Institute of Foreign Languages
1655,Guangxi University
1656,"Jishou University,Jishou University"
1657,Beijing Language and Culture University
1658,Guangdong University of Foreign Studies
1659,Central China Normal University/Xinjiang University
1660,Sichuan International Studies University
1661,Zhejiang Wanli Institute
1662,Shanghai International Studies University
1663,Hefei Normal Institute
1664,Wuhan Polytechnic University
1665,Changzhou Institute of Engineering
1666,"Chongqing University,Beijing University of Aeronautics and Astronautics"
1667,Hebei Normal University;Hebei Normal University
1668,Dalian University
1669,Guizhou Normal University
1670,"Guiyang Institute,Guizhou Normal University"
1671,Fujian Normal University
1672,North China University of Water Resources and Electric Power
1673,Guangdong University of Foreign Studies
1674,Zhejiang University of Technologyã¨?Zhejiang University of Technology
1675,"Northwest Normal University,Northwest Normal University"
1676,"Shandong Institute of Business and Technology,Shandong Institute of Business and Technology"
1677,Southwest University for Nationalities
1678,Jilin University
1679,Jilin University
1680,Tianjin Vocational Institute for Electronic Information
1681,"Suzhou Institute of Technology,Nanjing University"
1682,Luoyang Institute for Engineering
1683,Suzhou Vocational University
1684,"Hong Kong Polytechnic University,Beijing Foreign Studies University"
1685,Jiangsu University of Technology
1686,Shaanxi University of Chinese Medicine
1687,Fujian Normal University
1688,Lanzhou University
1689,East China Normal University
1690,Nanjing Vocational Institute of Special Education
1691,Sichuan International Studies University
1692,Lanzhou Business School
1693,Sichuan University
1694,Jilin Normal University
1695,Jilin Normal University
1696,Suzhou University
1698,Shenyang Normal University
1699,Hechi Institute
1700,Guilin University of Technoloy
1701,China Science and Technology Exchange Center
1702,Hubei Normal University
1703,Guangdong University of Foreign Studies
1704,Dezhou Institute
1705,Henan Vocational Institute of Technology
1706,Guangzhou Nanyang Institute of Technology and Science
1707,Hunan Agricultural University;Hunan Agricultural University;
1708,Qingyuan Vocational Institute of Technology
1709,Shenyang Normal University
1710,Tianjin Foreign Studies University
1711,Hunan University
1712,"Nantong University,Nantong University"
1713,"Fujian Normal University,Minjiang Institute"
1714,Quanzhou vocational institute for business and technology
1715,Maanshan Normal College
1716,Xi'an Translation Institute
1717,Luoyang Institute for Engineering
1718,Quanzhou Liming Vocational University
1719,Fudan University
1720,"Hangzhou Normal University,Hangzhou Normal University"
1721,Shenyang Normal University
1722,Xi'an Jiaotong University;Xi'an Jiaotong University
1723,Guangxi Normal University
1724,"Yangzhou University,Shanghai International Studies University"
1725,Bengbu University
1726,Northeast Dianli University
1727,Sichuan Normal University
1728,"Jilin Normal University,Jilin Normal University"
1729,Jilin Institute of Engineering Construction;Jilin Institute of Engineering Construction
1730,Northern Ethnic University
1731,Guangxi Normal University
1732,China University of Mining and Technology
1733,Chongqing University of Science and Technology
1734,Hangzhou University of Electronic Science and Technology
1735,Zhanjiang Normal University
1736,Liaodong Institute
1737,Jiangsu University of Technology
1738,Anshan Normal University
1739,Jilin Agricultural Science and Technology College
1740,Jilin Police Academy
1741,"Guangxi University,Guangxi University"
1742,Beijing Foreign Studies University
1743,Xuzhou Engineering Institute
1744,Xi'an Translation Institute
1745,Shanghai International Studies University
1746,Anhui University of Engineering
1747,Shanghai Institute of Foreign Trade
1748,Zhanjiang Normal University
1749,Shanghai Jiaotong University;Shanghai Jiaotong University
1750,Jilin Normal University
1751,China West Normal University
1752,Guangdong Medical School
1753,Southwest University
1754,Guangxi Normal University
1755,Northeastern University
1756,Suihua Institute
1757,Quanzhou Normal University
1758,Changshu Institute of Technology
1759,"Dalian University of Foreign Languages,Dalian University of Foreign Languages"
1760,Hunan Arts and Crafts Vocational College
1761,Jilin University
1762,Jilin University
1763,Henan University of Technology
1764,"Hebei Finance Institute,Hebei Finance Institute"
1765,Anhui University of Technology
1766,Nanjing University of Science and Technology
1767,Beijing Hongqi University for Professional Development
1768,Northeast Dianli University
1769,"Lanzhou University of Science and Technology,Northern Ethnic University"
1770,PetroChina
1771,Ocean University of China
1772,Shanghai University
1773,Guangdong University of Foreign Studies
1774,Northern Ethnic University
1775,Fujian Normal University
1776,Hainan University
1777,Chongqing Technology and Business University
1778,Chongqing Technology and Business University
1779,Jiangsu Radio and TV University
1780,Guangdong University of Foreign Studies
1781,Three Gorges University
1782,Huizhou Agricultural School/Guangdong University of Foreign Studies
1783,Shanghai Institute of Physical Education
1784,Putian Institute
1785,"Hunan No.1 Normal Institute,Central South Ethnic University"
1786,East China University of Science and Technology
1787,Jilin Normal University
1788,No. 4 Military Medical School
1789,Tianjin Vocational Institute for Electronic Information
1790,"Hubei University of Economics,Wuhan University"
1791,Tianjin University of Science & Technology;Tianjin University of Science & Technolog
1792,Beijing Institute of Technology
1793,Xi'an Translation Institute
1794,China University of Political Science and Law
1795,Sichuan International Studies University
1796,"Changzhou Vocational Institute of Information Technology,Changzhou Vocational Institute of Information Technology,Changzhou Vocational Institute of Information Technology"
1797,Taizhou Normal College
1798,Suzhou Vocational Institute of Business and Technology
1799,Beijing Vocational Institute of Political Science
1800,Henan Vocational Institute of Technology
1801,Artillery Academy
1802,Tangshan College
1803,Chengdu University
1804,Nanjing Normal University
1805,Xinjiang Normal University;Xinjiang Normal University
1806,Putian University
1807,Anhui Polytechnic University
1808,University of Electronic Science and Technology of China
1809,Guangdong Institute of Science and Investment
1810,Hechi University
1811,Xiamen University/Shanghai International Studies University
1812,China Pharmaceutical University
1813,Lishui University
1814,Shanghai University
1815,Beijing International Studies University
1816,Beijing Language and Culture University
1817,Shandong Institute of Business and Technology
1818,Liaoning Institute of Public Policies
1819,Fudan UniversityFudan University;
1820,Chongqing Normal University
1821,Inner Mongolia University of Science & Technology
1822,Shanghai International Studies University
1823,Wuchang Engineering Institute
1824,Beijing Foreign Studies University;Beijing Foreign Studies University;
1826,Changsha Insurance Vocational School
1827,Zhejiang Ocean University;
1828,Xi'an International Studies University
1829,Suzhou University of Science and Technology
1830,Capital Medical University
1831,Wenzhou Medical University
1832,Yangzhou University
1833,Changzhou Institute of Technology
1834,Guangdong Peizheng College
1835,Guangdong University of Foreign Studies
1836,Central South University
1837,Fujian Transportation Institute
1838,Jishou University
1839,Guangdong Peizheng College
1840,Qufu Normal University
1841,Gannan Normal University;Gannan Normal University;Gannan Normal University
1842,Shenzhen University;
1843,Jiangxi University of Finance and Economics
1844,Guangxi Normal University;Guangxi Normal University
1845,Southwest University
1846,Guangxi UniversityGuangxi University
1847,Beijing University of Science & Technology ;Beijing University of Science & Technology 
1848,Guangdong Polytechnic College
1849,Guangxi University of Finance and Economics
1850,Beijing International Studies University;Shandong University
1851,Guangxi University for Nationalities
1852,Southwestern University of Finance and Economics
1853,Shenyang Normal University
1854,University of Shanghai for Science and Technology;University of Shanghai for Science and Technology;
1855,Qufu Normal University;Qufu Normal University
1856,University of Shanghai for Science and Technology
1857,Anhui Polytechnic University
1858,Xiamen University
1859,Anhui Polytechnic University;Shanghai International Studies University
1860,Beijing Language and Culture University;
1861,Shanghai University
1863,Guangdong University of Foreign Studies;Guangdong University of Foreign Studies
1864,Xinyang Vocational & Technical College/Xinyang Teachers' College
1865,Tianjin Binhai Vocational School
1866,Chengdu University
1867,Chongqing Normal University
1868,Zhejiang Normal University
1869,Qinghai Nationalities University;
1870,Hong Kong Polytechnic University;Guangdong University of Foreign Studies
1871,Chengdu Sports Institute;Chengdu Sports Institute
1872,Dezhou University
1873,Nanchang Aeronautics University;Nanchang Aeronautics University;Jiangxi Police College
1874,Fuzhou College of Foreign Studies and Trade
1875,New Oriental School
1876,Translators Association  of China
1877,Luoyang Institute of Science and Technology
1878,Hunan City University
1879,Shaanxi Education Institute
1880,Huainan Normal University/Sichuan International Studies University
1881,Shaoxing University
1882,Chang'an University
1883,Jiangxi Normal University;Jiangxi Normal University
1884,Qufu Normal University;
1885,Hangzhou Dianzi University
1886,Fujian Normal University
1887,Tianjin University of Science & Technology
1888,Heilongjiang University;Heilongjiang University; 
1889,Zhejiang Wanli University
1890,Anhui University
1891,Southwest University of Political Science and Law
1892,Beijing Foreign Studies University/Tsinghua University;Changchun University of Technology
1893,Jiangsu University of Science and Technology
1894,Hubei University of Technology
1895,Suzhou College of Information Technology; 
1896,Shaanxi University of Technology
1897,Guangxi Normal UniversityGuangxi Normal University
1898,Naval Equipment Research Institute
1899,Handan College
1900,Hechi University
1901,Beijing Normal University
1902,Guizhou Normal University
1903,Jimei University
1904,China Institute of Industrial Relations
1905,Huanghuai University
1906,Guangxi Normal University
1907,Guangxi University;Guangxi University
1908,Beijing Forestry University;Beijing Forestry University
1909,South China Agricultural University
1910,Hubei University for Nationalities
1911,Central University for Nationalities
1912,Huanghe Science and Technology College
1913,Fuyang Teachers College;Fuyang Hongqi Middle School
1914,Ningbo University/Shanghai International Studies University
1915,"Lianyungang Teachers' College,Lianyungang Teachers' College"
1916,Jishou University
1917,Dalian University of Foreign Languages
1918,Luoding Institute of Technology
1919,Liaoning Normal University;Liaoning Normal University;
1920,Zhejiang University
1921,Qiannan Normal College for Nationalities;Qiannan Normal College for Nationalities
1922,Liaoning University
1923,Northwest University of Politics and Law
1924,China International Publishing Group
1925,Fujian International Business & Economic College
1926,Nanjing University of Technology
1927,Guangxi University
1928,Chengdu IT Engineering Institute
1929,Shanghai International Studies University;Ningbo University
1930,Changzhou Institute of Technology
1931,Fudan University
1932,Northwest Normal University
1933,Fuyang Teachers College
1934,Higher Education Press
1935,Beijing Forestry UniversityBeijing Forestry University;Beijing Forestry University
1936,Heilongjiang Overseas Travel Agency
1937,Beijing Foreign Studies University;Beijing Foreign Studies University
1938,Luoyang Institute of Science and Technology
1939,Minnan Normal University
1940,Qiqihar University
1941,Shandong University of Finance and Economics
1942,Guangdong University of Foreign Studies;
1943,Shaanxi Education Institute
1944,Zhongnan University of Economics and Law
1945,Zhongnan University of Economics and Law
1946,Xi'an Fanyi University;Xi'an Fanyi University
1947,Guangxi Normal University;Guangxi Normal University
1948,University of Electronic Science and Technology of China;University of Electronic Science and Technology of China;Southwestern University of Finance and Economics
1949,Henan University of Technology
1950,Fuyang Teachers College
1952,China Three Gorges University
1953,Shenyang University of Technology
1954,Tangshan College
1955,Zhongshan Vocational College
1956,Beijing Language and Culture University
1957,Xi'an International Studies University
1958,Jiamusi University
1959,Nanjing Forestry University
1960,Zhejiang Normal University
1961,Sichuan International Studies University;
1962,Jimei University
1963,Shanxi University
1964,Huainan Normal University
1965,Hebei United University;Tangshan College
1966,Huangshi Polytechnic University
1967,Liaoning Equipment Manufacturing Vocational and Technical College
1968,Lishui University
1969,Inner Mongolia Agricultural University
1970,Taiyuan Normal University
1971,Tianjin University
1972,Chongqing University of Arts and Science
1973,Southwest Jiaotong University
1974,Guangxi University
1975,Jishou University;Jishou University
1976,Shanghai University
1977,Nanjing Institute of Technology
1978,Guangxi University;Guangxi University
1979,Dalian University of Foreign Languages;
1980,Bengbu  College 
1981,Shanghai Jiaotong University
1982,Tianshui Normal University
1983,Hubei University of Economics
1984,Guangdong Polytechnic Normal University
1985,Tianjin Maritime Institute
1986,Wuxi Technology Vocational Institute
1987,Northwest University for Nationalities
1988,North University of China
1989,Guangzhou University
1990,Shanghai Normal University
1991,Qufu Normal University
1992,Zhejiang Normal University/Zhejiang Dongfang Vocational and Technical College
1993,Shanghai International Studies University/Xiamen University
1994,Xi'an Fanyi University
1995,Xi'an International Studies University
1996,University of Electronic Science and Technology of China
1997,Xinjiang Normal University
1998,Fujian Huanan Women's College
1999,Sichuan University;Heriot-Watt University
